id|name|address|phone|email|hours|cuisines|diningType|priceRange|rating
R001|Cafe Delight|123 Main St, Milwaukee|414-555-1010|cafedelight@email.com|8am-8pm|American|Casual Dining|$$|4.3
R002|Sushi World|456 Water St, Milwaukee|414-555-1020|sushiworld@email.com|11am-10pm|Japanese|Fine Dining|$$$|4.7
R003|Pizza Palace|789 Broadway, Waukesha|262-555-1030|pizzapalace@email.com|10am-11pm|Italian|Fast Casual|$$|4.2
R004|Taco Town|101 State St, Milwaukee|414-555-1040|tacotown@email.com|9am-9pm|Mexican|Fast Food|$|3.9
R005|Burger Hub|202 Center St, Waukesha|262-555-1050|burgerhub@email.com|10am-10pm|American|Fast Casual|$$|4.1
R006|Pasta House|303 Oak St, Milwaukee|414-555-1060|pastahouse@email.com|11am-10pm|Italian|Casual Dining|$$|4.4
R007|Curry Corner|404 Pine St, Milwaukee|414-555-1070|currycorner@email.com|10am-9pm|Indian|Casual Dining|$$|4.5
R008|Dragon Wok|505 Maple Ave, Waukesha|262-555-1080|dragonwok@email.com|11am-10pm|Chinese|Casual Dining|$$|4.2
R009|Bagel Bros|606 Elm St, Milwaukee|414-555-1090|bagelbros@email.com|7am-3pm|American|Fast Food|$|4.0
R010|Sandwich Spot|707 Cedar St, Waukesha|262-555-1100|sandwichspot@email.com|8am-8pm|American|Fast Casual|$$|4.1
R011|Pho Palace|808 Walnut St, Milwaukee|414-555-1110|phopalace@email.com|10am-9pm|Vietnamese|Casual Dining|$$|4.3
R012|Crepe Cafe|909 Birch St, Milwaukee|414-555-1120|crepecafe@email.com|9am-8pm|French|Casual Dining|$$|4.2
R013|Wing World|111 Oakwood Ave, Waukesha|262-555-1130|wingworld@email.com|11am-11pm|American|Fast Food|$|3.8
R014|Ramen House|222 Pinewood Dr, Milwaukee|414-555-1140|ramenhouse@email.com|11am-10pm|Japanese|Casual Dining|$$|4.5
R015|Steak Station|333 Maplewood St, Milwaukee|414-555-1150|steakstation@email.com|12pm-10pm|American|Fine Dining|$$$|4.7
R016|Mediterraneo|444 Elmwood Ave, Waukesha|262-555-1160|mediterraneo@email.com|11am-10pm|Mediterranean|Casual Dining|$$|4.3
R017|Veggie Delight|555 Cedarwood Dr, Milwaukee|414-555-1170|veggiedelight@email.com|9am-9pm|Vegetarian|Casual Dining|$$|4.4
R018|BBQ Barn|666 Birchwood St, Waukesha|262-555-1180|bbqbarn@email.com|11am-10pm|American|Casual Dining|$$|4.0
R019|Dumpling Den|777 Walnutwood Ave, Milwaukee|414-555-1190|dumplingden@email.com|10am-9pm|Chinese|Casual Dining|$$|4.3
R020|Bagel & Brew|888 Oakwood Dr, Milwaukee|414-555-1200|bagelbrew@email.com|7am-3pm|American|Fast Food|$|3.9
R021|Pizza Planet|1010 Pinewood St, Waukesha|262-555-1210|pizzaplanet@email.com|10am-11pm|Italian|Fast Casual|$$|4.2
R022|Noodle Nest|1111 Maple St, Milwaukee|414-555-1220|noodlenest@email.com|11am-9pm|Asian|Casual Dining|$$|4.4
R023|Taco Fiesta|1212 Elm St, Milwaukee|414-555-1230|tacofiesta@email.com|9am-9pm|Mexican|Fast Food|$|3.8
R024|Burger Palace|1313 Cedar St, Waukesha|262-555-1240|burgerpalace@email.com|10am-10pm|American|Fast Casual|$$|4.1
R025|Pasta Point|1414 Birch St, Milwaukee|414-555-1250|pastapoint@email.com|11am-10pm|Italian|Casual Dining|$$|4.3
R026|Curry House|1515 Walnut St, Milwaukee|414-555-1260|curryhouse@email.com|10am-9pm|Indian|Casual Dining|$$|4.5
R027|Dragon Express|1616 Oak St, Waukesha|262-555-1270|dragonexpress@email.com|11am-10pm|Chinese|Fast Food|$|4.0
R028|Bagel Hut|1717 Pine St, Milwaukee|414-555-1280|bagelhut@email.com|7am-3pm|American|Fast Food|$|3.9
R029|Sandwich Central|1818 Maple Ave, Waukesha|262-555-1290|sandwichcentral@email.com|8am-8pm|American|Fast Casual|$$|4.0
R030|Pho Express|1919 Elmwood St, Milwaukee|414-555-1300|phoexpress@email.com|10am-9pm|Vietnamese|Casual Dining|$$|4.2
R031|Crepe Corner|2020 Cedarwood Dr, Milwaukee|414-555-1310|crepecorner@email.com|9am-8pm|French|Casual Dining|$$|4.1
R032|Wing Stop|2121 Birchwood St, Waukesha|262-555-1320|wingstop@email.com|11am-11pm|American|Fast Food|$|3.8
R033|Ramen Express|2222 Walnutwood Ave, Milwaukee|414-555-1330|ramenexpress@email.com|11am-10pm|Japanese|Casual Dining|$$|4.5
R034|Steak House|2323 Oakwood Dr, Milwaukee|414-555-1340|steakhouse@email.com|12pm-10pm|American|Fine Dining|$$$|4.6
